job_title,category,question
AI Engineer,Experience,What experience do you have with fine-tuning models in past projects and what was the outcome?
Data Scientist,Leadership,Explain how you would handle conflict between team members over approaches to time series forecasting.
Cyber Security Engineer,Behavioral,Describe how you manage competing priorities when working on secure coding practices tasks.
Interactive Media Specialist,Problem Solving,Here's a problem: how would you approach optimizing interactive storytelling for a large-scale Interactive Media Specialist system? (with limited budget and time).
Network Engineer,Technical,How would you design a solution for network monitoring in the context of a Network Engineer position?
UX/UI Designer,Behavioral,Share an example when you had to learn a new tool or technique for user research methods quickly (while ensuring accessibility).
Backend Developer,Technical,Explain the key concepts of scalability and how you would apply them in a Backend Developer role.
Frontend Developer,Technical,What are common pitfalls when working with CSS layout techniques and how do you avoid them? (with limited budget and time).
Network Engineer,Leadership,How do you foster a culture of quality and security around VPNs in your team? (while ensuring accessibility).
Information Systems Engineer,Problem Solving,Design an algorithm or approach to solve business process modeling in a Information Systems Engineer setting. Explain complexity.
Backend Developer,Leadership,Share your strategy to prioritize work and align stakeholders when implementing scalability.
Backend Developer,Behavioral,Describe a situation where you had to collaborate with others to solve a problem related to microservices (in a cloud-native environment).
Computer Scientist,Behavioral,Describe a situation where you had to collaborate with others to solve a problem related to computational theory (for a legacy system).
Full Stack Developer,Problem Solving,How would you break down a complex frontend-backend integration problem into smaller tasks for a Full Stack Developer team? (in a cloud-native environment).
Full Stack Developer,Technical,Walk me through the steps to implement performance optimization for a Full Stack Developer project.
Data Scientist,Experience,Describe a project where you used deep learning architectures and the role you played in it.
Network Engineer,Leadership,Describe how you'd mentor junior engineers/designers on best practices for network troubleshooting.
Backend Developer,Problem Solving,Propose a solution to improve asynchronous processing when faced with limited resources in a Backend Developer project.
Computer Scientist,Behavioral,Have you ever had to persuade stakeholders about an approach to data structures? What happened?
Data Scientist,Technical,Walk me through the steps to implement machine learning model selection for a Data Scientist project.
Information Systems Engineer,Problem Solving,Design an algorithm or approach to solve systems analysis in a Information Systems Engineer setting. Explain complexity.
UX/UI Designer,Leadership,How would you lead a team building a information architecture feature from concept to production in a UX/UI Designer context? (while ensuring accessibility).
Information Systems Engineer,Leadership,Share your strategy to prioritize work and align stakeholders when implementing ERP systems.
Computer Scientist,Leadership,Share your strategy to prioritize work and align stakeholders when implementing distributed systems.
Full Stack Developer,Behavioral,Describe a situation where you had to collaborate with others to solve a problem related to performance optimization.
Full Stack Developer,Problem Solving,Design an algorithm or approach to solve frontend-backend integration in a Full Stack Developer setting. Explain complexity.
Data Scientist,Experience,Discuss a system you built that relied on deep learning architectures and the biggest lessons learned.
Computer Scientist,Leadership,Explain how you would handle conflict between team members over approaches to computational theory.
Information Systems Engineer,Technical,Explain the key concepts of IT governance and how you would apply them in a Information Systems Engineer role.
Network Engineer,Problem Solving,Here's a problem: how would you approach optimizing routing protocols for a large-scale Network Engineer system?
Backend Developer,Problem Solving,"Given a scenario with microservices failures, outline your debugging and mitigation steps for a Backend Developer role (with limited budget and time)."
Full Stack Developer,Experience,Which tools or frameworks have you used for frontend-backend integration and which did you prefer? Why? (in a cloud-native environment).
Cyber Security Engineer,Technical,Explain the key concepts of threat modeling and how you would apply them in a Cyber Security Engineer role (in a cloud-native environment).
Information Systems Engineer,Technical,What are common pitfalls when working with IT governance and how do you avoid them?
Frontend Developer,Technical,What are common pitfalls when working with web performance and how do you avoid them?
Interactive Media Specialist,Experience,Discuss a system you built that relied on multimedia authoring tools and the biggest lessons learned.
Information Systems Engineer,Behavioral,Describe how you manage competing priorities when working on business process modeling tasks.
Backend Developer,Leadership,How would you lead a team building a caching strategies feature from concept to production in a Backend Developer context? (while ensuring accessibility).
Cyber Security Engineer,Problem Solving,Design an algorithm or approach to solve network security in a Cyber Security Engineer setting. Explain complexity.
Backend Developer,Technical,What are common pitfalls when working with microservices and how do you avoid them?
AI Engineer,Leadership,Share your strategy to prioritize work and align stakeholders when implementing continuously learning systems (with limited budget and time).
Information Systems Engineer,Experience,What experience do you have with database management in past projects and what was the outcome? (in a cloud-native environment).
Information Systems Engineer,Technical,How would you design a solution for requirements gathering in the context of a Information Systems Engineer position?
AI Engineer,Technical,Explain the key concepts of prompt engineering and how you would apply them in a AI Engineer role.
Network Engineer,Technical,What are common pitfalls when working with QoS and how do you avoid them? (considering performance at scale).
Backend Developer,Problem Solving,"Given a scenario with microservices failures, outline your debugging and mitigation steps for a Backend Developer role (considering performance at scale)."
Backend Developer,Problem Solving,Propose a solution to improve asynchronous processing when faced with limited resources in a Backend Developer project.
Information Systems Engineer,Problem Solving,Design an algorithm or approach to solve business process modeling in a Information Systems Engineer setting. Explain complexity.
Backend Developer,Experience,How have you measured success when working on asynchronous processing initiatives? (in a cloud-native environment).
Backend Developer,Leadership,Share your strategy to prioritize work and align stakeholders when implementing scalability.
Interactive Media Specialist,Experience,Which tools or frameworks have you used for AR/VR basics and which did you prefer? Why?
Backend Developer,Problem Solving,"Given a scenario with scalability failures, outline your debugging and mitigation steps for a Backend Developer role."
Full Stack Developer,Leadership,How would you lead a team building a authentication feature from concept to production in a Full Stack Developer context?
Full Stack Developer,Behavioral,Have you ever had to persuade stakeholders about an approach to authentication? What happened? (for a legacy system).
Data Scientist,Behavioral,Share an example when you had to learn a new tool or technique for feature engineering quickly (considering performance at scale).
Cyber Security Engineer,Experience,How have you measured success when working on encryption and cryptography initiatives?
UX/UI Designer,Problem Solving,"Given a scenario with design systems failures, outline your debugging and mitigation steps for a UX/UI Designer role."
Data Scientist,Technical,Explain the key concepts of time series forecasting and how you would apply them in a Data Scientist role.
Network Engineer,Behavioral,Share an example when you had to learn a new tool or technique for subnetting and CIDR quickly.
Network Engineer,Technical,Explain the key concepts of QoS and how you would apply them in a Network Engineer role (considering performance at scale).
Backend Developer,Leadership,Share your strategy to prioritize work and align stakeholders when implementing API versioning.
Interactive Media Specialist,Problem Solving,Propose a solution to improve performance optimization for media when faced with limited resources in a Interactive Media Specialist project (in a cloud-native environment).
Information Systems Engineer,Leadership,How do you foster a culture of quality and security around business process modeling in your team?
AI Engineer,Behavioral,Share an example when you had to learn a new tool or technique for continuously learning systems quickly.
